group,y,x_pre
B,0.0,-1.2605940187998574
A,1.0,0.3920266110599123
B,0.0,0.11434910982059632
B,1.0,0.3771324843110272
A,0.0,0.4715848078458876
B,0.0,-0.9336707844179017
B,0.0,-0.9755281790147413
B,0.0,0.7149271341004025
A,0.0,-0.6293446105643965
A,0.0,-2.7501484920051484
A,0.0,0.6487552978838649
B,0.0,-1.0362612880687683
B,1.0,0.4671358779052533
B,0.0,1.3928218493169693
A,0.0,0.016762457261947625
A,1.0,0.9957658316635309
B,1.0,0.15379768053620216
A,0.0,1.5874293281411473
B,0.0,-1.0621071087571061
B,0.0,-0.00821498041648976
B,0.0,0.6731616050414675
A,0.0,-0.19041175701004545
B,0.0,1.1522189966526697
B,1.0,-0.4320395395107805
B,0.0,2.0693711516288884
A,0.0,2.122197504272245
A,0.0,0.28207199622729967
A,0.0,0.5526011803546168
A,0.0,1.1916714356246376
B,0.0,-1.1871973989673668
B,0.0,-1.3120000145777906
B,1.0,1.2564189138576347
A,0.0,0.2739884728729994
A,1.0,-0.22650524597978958
A,0.0,0.011123302881161038
A,1.0,-2.3860414723640693
A,0.0,-0.19056231445700128
A,0.0,-0.7530467391932236
A,1.0,0.9180716336150824
B,0.0,0.9950307783840061
A,0.0,0.5766802341299105
B,1.0,0.39545864879914155
B,0.0,-1.4973467487202679
A,0.0,0.5906430799968742
B,0.0,0.6293979455233839
B,0.0,1.2451926537687301
A,1.0,2.118209812430197
A,0.0,-1.6925606735716086
B,0.0,-0.38847682561821334
A,0.0,-0.7422666371576447
A,1.0,0.17250718838507423
A,0.0,0.013401858218038697
B,0.0,-0.23408207308014561
B,1.0,1.0276043614011736
B,0.0,-1.1014142111807836
B,0.0,-1.0411214673926061
A,1.0,-1.0242252710980422
B,1.0,-0.3603275874259869
A,1.0,-1.2285902159118463
A,0.0,-0.048571488799270555
B,1.0,-0.1654901946308669
A,0.0,-0.78651511399908
B,0.0,0.8737662540561958
B,1.0,-0.059500528286736874
B,0.0,1.0626473640318037
B,0.0,-0.19504985120443202
B,1.0,-0.02419488823135469
A,0.0,-0.5627824046817108
A,0.0,-0.007046540535484532
A,0.0,0.7122313061320464
A,1.0,-0.41133423227029803
A,0.0,0.5184119625346643
B,0.0,-0.8127469610457412
A,0.0,0.7590505655222095
A,0.0,-0.5799058273119273
A,1.0,0.8516798732290504
A,0.0,0.06097654243366502
B,1.0,1.5209537333910634
B,1.0,-1.154067726254209
B,1.0,-1.4761767733118683
B,0.0,-0.6162172459755669
A,0.0,-1.3846109480343132
B,1.0,-1.3827348944282776
A,0.0,0.6215507604598759
A,0.0,-0.004178793412658349
A,0.0,-0.47968097670425885
B,0.0,-0.3869625973054321
A,0.0,-0.5972376643263394
A,0.0,1.6503691678190437
B,0.0,-0.7355057076430367
A,0.0,-1.3221338980832993
B,1.0,0.7960506174863278
A,0.0,-0.2157556233478209
A,0.0,2.0387736888178853
A,0.0,-0.5262056387941353
B,1.0,0.845984179756792
A,0.0,1.0821973305993051
A,0.0,-0.5213358322020036
A,0.0,-0.7429207679090358
B,1.0,0.7413665309309047
B,0.0,0.5748919179139307
B,1.0,-1.4106101007109266
A,0.0,-1.1284356363047208
B,1.0,-2.5364300049480053
B,0.0,0.5953868539788023
B,0.0,-0.2618271931357455
A,0.0,-0.162150420975282
A,0.0,-1.6914440977018532
A,0.0,-1.0981023530893264
B,0.0,-0.4779589125675662
A,0.0,-0.672325600147821
A,0.0,0.11783607551763121
A,0.0,0.5834681266318139
B,0.0,2.269612569285197
A,0.0,-0.020017030030925434
B,0.0,1.1154026630969456
B,0.0,-0.8299727769797747
B,1.0,-1.6749463149753558
A,0.0,-0.35230164671012465
B,0.0,-1.5977217178742416
B,0.0,0.014673167169103205
B,0.0,-0.7804541245086651
A,0.0,-1.9542713867545856
A,0.0,1.7360251458601772
A,0.0,-0.5375617131053801
A,0.0,-1.6376193029441979
A,0.0,0.8981717905072897
A,1.0,-0.7286143625392852
